"tipo_logradouro","logradouro","numero","complemento","bairro","cep","uf","municipio"
AVENIDA,FRANCISCO RODRIGUES FILHO,"1891",,VILA MOGILAR,"08773380",SP,MOGI DAS CRUZES
RUA,RUA 12 CHACARA,"312A",LOJA  36 E 37,SETOR HABITACIONAL VICENTE PIRES,"72007730",DF,BRASILIA
AVENIDA,DO ORATORIO,"2710",ANEXO 2720-2722,PARQUE SAO LUCAS,"03220100",SP,SAO PAULO
AVENIDA,FRANCISCO MONTEIRO,"1298",,SANTANA,"09406300",SP,RIBEIRAO PIRES
AVENIDA,T4,"707",QUADRA141                 LOTE  10/11,SET BUENO,"74230035",GO,GOIANIA
RUA,JUVENTUS,"394",,PARQUE DA MOOCA,"03124020",SP,SAO PAULO
AVENIDA,CHAMPAGNAT,"2162",,JARDIM VENEZA,"14403050",SP,FRANCA
AVENIDA,GLAUCIO GIL,"940",      LOJAS 01 02,RECREIO DOS BANDEIRANTES,"22795172",RJ,RIO DE JANEIRO
RUA,ARMANDO STECK,"348",LOTE  1                   QUADRAA,JARDIM NIERO,"13290000",SP,LOUVEIRA
AVENIDA,DOS NACIONALISTAS,"464",ANEXO 498,JARDIM TANGO,"03901010",SP,SAO PAULO
QUADRA,SAAN QUADRA 2,"995",,ZONA INDUSTRIAL,"70632200",DF,BRASILIA
RUA,RUI BARBOSA,"286",,CENTRO,"15120000",SP,NEVES PAULISTA
RUA,DE OXALA,"168",,PARQUE DOS ORIXAS,"19160000",SP,ALVARES MACHADO
RUA,FLORIANO PEIXOTO,"33",,CENTRO,"49680000",SE,NOSSA SENHORA DA GLORIA
RUA,CORONEL FRANCISCO MOREIRA DA COSTA,"233",SALA  04,CENTRO,"37540000",MG,SANTA RITA DO SAPUCAI
TRAVESSA,ARISTIDES MIRANDA,"20",LOJA  02,ARIBIRI,"29120600",ES,VILA VELHA
AVENIDA,ALBINO JOSE BARBOSA DE OLIVEIRA,"1441",,JARDIM AFIFE,"13084551",SP,CAMPINAS
AVENIDA,PADRE IVO ANTONIO ZOLET,"640",SALA  1,CENTRO,"85515000",PR,BOM SUCESSO DO SUL
TRAVESSA,WE 69,"662",CONJ  CIDADE NOVA 6             ESQ.C/TV SN 23,CIDADE NOVA,"67140110",PA,ANANINDEUA
AVENIDA,GENERAL NETTO (CENTRO) - DE 253 AO FIM - LADO IMPA,"399",GARAGEGARAGEM,ANNES,"99010023",RS,PASSO FUNDO
RODOVIA,PA 160,SN,      VS 45                     QD 32                     LOTE 21                   ANEXO I,ZONA RURAL,"68537000",PA,CANAA DOS CARAJAS
RUA,JOLI,"412",,BRAS,"03016020",SP,SAO PAULO
,RUE THOMAS EDISON,"000000",,STRASSEN,,EX,EXTERIOR
RUA,MIGUEL DE SENA,"65",,PETROPOLIS,"55030210",PE,CARUARU
RUA,MARAVILHA,"129",QUADRA0045                LOTE  0455,JARDIM TROPICAL,"57316100",AL,ARAPIRACA
RUA,MIRO FELIPE DE MENDONCA,"140",,ALTO DE SAO MANOEL,"59633010",RN,MOSSORO
RUA,IMPERADOR,"20",,SITIO IPIRANGA,"94970240",RS,CACHOEIRINHA
RUA,GAVIAO,"126",,TRES MARIAS,"93295605",RS,ESTEIO
RUA,ZIRIPO,"21",,DISTRITO IPIRANGA,"94370000",RS,GRAVATAI
RUA,PRINCIPAL MA 402,"16",,SAPUCAIA,"65150000",MA,ROSARIO
RODOVIA,RSC 287,"1255",      DOCA 1,RINCAO COMPRIDO,"96930000",RS,CANDELARIA
RODOVIA,"GO 156, SENTIDO DIOLANDIA 2KM A ESQUERDA",S/N,,ZONA RURAL,"76680000",GO,ITAPURANGA
RUA,PRESIDENTE KENNEDY,"481",,CENTRO,"85810040",PR,CASCAVEL
RUA,DA CALMA,"350",,SERIEMA,"65602760",MA,CAXIAS
RUA,ERCINA LAPENDA,"140",,NOSSA SENHORA DA LUZ,"54749000",PE,SAO LOURENCO DA MATA
AVENIDA,MATO GROSSO,"48-A",,CENTRO,"76380052",GO,GOIANESIA
AVENIDA,ATAIDE TEIVE,"1410",,CENTRAL,"68900095",AP,MACAPA
RODOVIA,BR 135 S/N,SN,,CHAPADINHA,"65690000",MA,COLINAS
RUA,JUSTINO BEZERRA SN,SN,,DEOLINO BARROS,"65760000",MA,PRESIDENTE DUTRA
AVENIDA,DAS NACOES,"2703",,MARANATA,"76997000",RO,CEREJEIRAS
AVENIDA,ANTONIO SOARES,"87",,CENTRO,"63610000",CE,MOMBACA
AVENIDA,VINTE E SEIS DE MARCO,"1409",ANDAR 1,CENTRO,"06401050",SP,BARUERI
ESTRADA,"RS 456, KM 25",S/N,,"1 DISTRITO","95380000",RS,ESMERALDA
AVENIDA,MOFARREJ,"348",CONJ  1308 E VG,VILA LEOPOLDINA,"05311000",SP,SAO PAULO
RUA,PAULINO FERNANDES,"210",,SAMANAU,"59300000",RN,CAICO
ESTRADA,REDENCAO AO POCOS - KM 31,SN,,SITIO POCOS,"62790000",CE,REDENCAO
AVENIDA,SANTOS DUMONT,"4360",LOJA  N 2010 PISO L2,CENTRO,"42702400",BA,LAURO DE FREITAS
RODOVIA,"DOM GABRIEL P. BUENO COUTO KM 82,2",S/N,LOTE  AREA H              GALPAOC                   LOJA  DOCAS 19 E 20,PINHAL,"13315000",SP,CABREUVA
AVENIDA,ANHANGUERA,"410",,VILA PIRAJA,"14795000",SP,COLOMBIA
VIA DE ACESSO,NORTE (RODOVIA ANHANGUERA) KM 31 + 775M,"800",GALPAO7AO16,EMPRESARIAL ANHANGUERA,"07753580",SP,CAJAMAR
RODOVIA,BR-158,"1680",BRCAO 01                  BRCAO 09,VILA ESPERANCA,"85503310",PR,PATO BRANCO
RUA,BUALE MUSTAFA RATEIB,"10155",LOTE  C2                  GALPAO1A 1B E 1C,CHACARA CASTELO II,"79835000",MS,DOURADOS
AVENIDA,TORQUATO TAPAJOS,"7503",GALPAO13 14 15 E 17,TARUMA,"69041025",AM,MANAUS
AVENIDA,JOAO OLIMPIO DE OLIVEIRA,"1570",,VILA ASEM,"18202000",SP,ITAPETININGA
AVENIDA,GENERAL DAVID SARNOFF,"3185",QUADRA31-A                LOTE  0001                GALPAO01,CIDADE INDUSTRIAL,"32210110",MG,CONTAGEM
RUA,PROFESSOR TELMO DE SOUZA TORRES,"117",,PRAIA DA COSTA,"29101294",ES,VILA VELHA
FAZENDA,NOSSA SENHORA APARECIDA,SN,KM    22 MG259,AREA RURAL,"39237000",MG,FELIXLANDIA
AVENIDA,"24 DE MAIO","100B",QUADRA006                 LOTE  0191,CENTRO,"48000127",BA,ALAGOINHAS
RUA,BENEDICTA RODRIGUES DOMINGOS,"491",,PARQUE INDUSTRIAL LAGOINHA,"14095050",SP,RIBEIRAO PRETO
RUA,ALBERTO COELHO,"82",,COELHO,"24740010",RJ,SAO GONCALO
RUA,MARTINS FONTES,"13",,VILA DIVA,"13453048",SP,SANTA BARBARA D'OESTE
RUA,PRESIDENTE VARGAS,"613",,CENTRO,"79430009",MS,BANDEIRANTES
RUA,JOSE SERAFIM RIBEIRO,"80",,MARIA FRANCO,"79440174",MS,JARAGUARI
AVENIDA,PRESIDENTE DUTRA,"815",GALPAOC,FELICIA,"45055480",BA,VITORIA DA CONQUISTA
RUA,ANTONIO WELLERSON,"334",,SANTO ANTONIO,"36900133",MG,MANHUACU
AVENIDA,QUINTINO BOCAIUVA,"150B",,CENTRO,"76850000",RO,GUAJARA-MIRIM
ESTRADA,DOS TRES RIOS,"00529",      SAL 0107 SAL 0108         SAL 0109 SAL 0110         SAL 0111 SAL 0201         SAL 0202 SAL 0203         SAL 0204 SAL 0205,FREGUESIA (JACAREPAGUA),"22745004",RJ,RIO DE JANEIRO
AVENIDA,TABAPOA,"2305",ANEXO POSTO,SETOR 03,"76870363",RO,ARIQUEMES
ACESSO,DEPUTADO GENESIO TURECK  ACESSO OESTE,"3827",,COLONIAL,"89288675",SC,SAO BENTO DO SUL
AVENIDA,ANTONIO RAMOS ALVIM,"1043",,FLORESTA,"89211460",SC,JOINVILLE
ESTRADA,DO BONSUCESSO,"6001",GALPAO01,RIO ABAIXO,"08579000",SP,ITAQUAQUECETUBA
RUA,VANCOUVER,"464",,JARDIM CANADA,"34007722",MG,NOVA LIMA
AVENIDA,"28 DE DEZEMBRO","935",SALA  01,CENTRO,"96545000",RS,NOVO CABRAIS
RUA,JULIO CONCEICAO,"228",,VILA MATHIAS,"11015540",SP,SANTOS
AVENIDA,TUIUTI,"710",LOJA  500,VILA MORANGUEIRA,"87040900",PR,MARINGA
AVENIDA,GOIAS,SN,LOTE  12                  QUADRA94,ALMEIDA,"76165000",GO,AMERICANO DO BRASIL
AVENIDA,SANTA LUZIA,SN,QUADRA16                  LOTE  574,SETOR MORADA NOVA,"76180000",GO,NAZARIO
AVENIDA,BENTO DA SILVA BUENO,"1239",,PARAISO (POLVILHO),"07793690",SP,CAJAMAR
RUA,DAS SAMAMBAIAS,"1104",LOTE  04                  QUADRA127                 SALA  A,SETOR INDUSTRIAL SUL,"78557480",MT,SINOP
RUA,JULIO DE CASTILHOS,"35",SALA  103,CENTRO,"95940000",RS,ARROIO DO MEIO
AVENIDA,DUQUE DE CAXIAS,"1538",,MARCO,"66093030",PA,BELEM
RUA,MARIO TAMASHIRO,"428",,BOQUEIRAO,"11700055",SP,PRAIA GRANDE
RUA,JONAS OLIVEIRA,"01",,NOVO CARIUS,"63530000",CE,CARIUS
RUA,ALCIDIO VIANA,"837",SALA  607                 ANDAR 6,SAO PEDRO,"83005560",PR,SAO JOSE DOS PINHAIS
RUA,INDAIAL,"1474",APT   01,SAO JOAO,"88304301",SC,ITAJAI
RUA,ACYR DE OLIVEIRA LIMA,"65",,BOA VISTA,"84072288",PR,PONTA GROSSA
AVENIDA,ANGELO CALAFIORI,"601",,MOCOQUINHA,"37950000",MG,SAO SEBASTIAO DO PARAISO
RUA,DR ADEMAR DE BARROS,"379",,CENTRO,"14500000",SP,ITUVERAVA
AVENIDA,MARECHAL RONDON,"508",,JARDIM CHAPADAO,"13070172",SP,CAMPINAS
RUA,SEVERINA GIARETTA BEDUSCHI,"145",SALA  01,SEDE,"89874000",SC,MARAVILHA
RODOVIA,ANTONIO MARTINS DE MENEZES,S/N,KM    60,ZONA E-04,"49400000",SE,LAGARTO
RUA,STA JUSTINA,"660",CONJ  91,VILA OLIMPIA,"04545042",SP,SAO PAULO
RUA,EURICO SOUZA LEAO,"120",SALA,MANGUINHOS,"21041200",RJ,RIO DE JANEIRO
AVENIDA,AMAZONAS,SN,QUADRA56                  LOTE  02,LOTEAMENTO ARAGUAINA SUL,"77826170",TO,ARAGUAINA
AVENIDA,DOS PIONEIROS,"54",,CENTRO,"68537000",PA,CANAA DOS CARAJAS
RODOVIA,RODOVIA BR 316 KM 262,"262",SALA  01                  ANDAR 01,PRIMAVERA,"57120000",AL,SATUBA
AVENIDA,PRESIDENTE DUTRA,"298",,IMBIRIBEIRA,"51190515",PE,RECIFE
RUA,SETE DE SETEMBRO,"260",,CENTRO,"78278000",MT,LAMBARI D'OESTE
RUA,TRINTA DE MAIO,"1264",,CENTRO,"15470000",SP,PALESTINA
RODOVIA,AM 010,"2705",      ESTRADA DO AEROPORTOKM    2.7,PORANGA,"69100600",AM,ITACOATIARA
RUA,THOMAZ FLORES,"360",,CENTRO,"96810038",RS,SANTA CRUZ DO SUL
MARGEM,AS MARGENS DO RIO TAPAJOS ESTRADA PIMENTAL,SN,KM    11                        DISTRITO MIRITITUBA,ZONA RURAL,"68191400",PA,ITAITUBA
AVENIDA,"AVENIDA PRINCIPAL, CENTRO",S/N,,DISTRITO DE EXTREMA,"76847000",RO,PORTO VELHO
RUA,JOANA ANTONIOLLI SCARASSATTI,"133",SALA  2,PARQUE DA FIGUEIRA,"13140868",SP,PAULINIA
RUA,JOSE BATISTA DA MOTA,"254",,BELA VISTA,"59609605",RN,MOSSORO
AVENIDA,AFONSO PENA,"411",,CENTRO,"37270000",MG,CAMPO BELO
RUA,DR BERNARDINO VIEIRA,"310",,CENTRO,"37148000",MG,CONCEICAO DA APARECIDA
AVENIDA,PROTASIO ALVES,"2338",,PETROPOLIS,"90410006",RS,PORTO ALEGRE
RUA,ANTONIO HOLANDA MONTENEGRO,"40",SALA  A,SANTO ANTONIO,"59619750",RN,MOSSORO
RUA,LAGOA IBIRAPUERA,"1415",,MORUMBI,"85810800",PR,CASCAVEL
AVENIDA,COPACABANA,"1628",,CIVIT II,"29168076",ES,SERRA
RUA,BALAO MAGICO,"1040",GALPAO02 RUA M,JARDIM DO RIO COTIA,"06715780",SP,COTIA
RUA,PESSOA ANTA,"618",,CENTRO,"62430000",CE,GRANJA
RUA,"24 DE MAIO","1687",,CENTRO,"62400000",CE,CAMOCIM
RUA,PARMA,"57",,BETHANIA,"35164775",MG,IPATINGA
RODOVIA,PE 050,SN,KM    11                  GALPAO2 3 4,SITIO LAGOA DO SAPO,"55715000",PE,FEIRA NOVA
ESTRADA,UNIAO E INDUSTRIA,"10126",LOJA  03,ITAIPAVA,"25730745",RJ,PETROPOLIS
RUA,PRUDENTE DE MORAIS,SN,QUADRA41                  LOTE  35,PARQUE ANHANGUERA,"74340025",GO,GOIANIA
AVENIDA,MINISTRO SALGADO FILHO,"918",,SOTECO,"29106010",ES,VILA VELHA
RUA,OLIMPIO MIRANDA JUNIOR,"247",,CENTRO,"88301080",SC,ITAJAI
RUA,ANTONIO ALVES GUERRA,SN,,CENTRO,"62720000",CE,ITATIRA
RUA,VAZ CAMINHA,"1200",,JARDIM NOROESTE,"79045263",MS,CAMPO GRANDE
PRACA,VINTE DE SETEMBRO,"846",      INTERIOR 01,CENTRO,"96015360",RS,PELOTAS
AVENIDA,LEOPOLDINO DE OLIVEIRA,"4464",,CENTRO,"38010000",MG,UBERABA
RUA,PROFESSORA CARMEM GOMES,"67",,PANORAMA,"25963200",RJ,TERESOPOLIS
RUA,RUA TEREZA SOARES MARTINS DO PRADO,"118",,LOTEAMENTO PITO RISSO,"37795000",MG,ANDRADAS
RODOVIA,MARGARIDA DA GRACA MARTINS,S/N,KM    19                  ANEXO PARTE,AGUA SECA,"13420280",SP,PIRACICABA
ESTRADA,PARTICULAR DEMARCHI,"470",ANEXO PARTE,POSTE,"13213245",SP,JUNDIAI
RUA,"74","408",SALA  02,SET CENTRAL,"74045020",GO,GOIANIA
AVENIDA,CATARINA GUIDONI VOLPI,"181",TERREOCOMERCIO,VILA VERDE,"29665000",ES,SAO ROQUE DO CANAA
RODOVIA,MT 220,S/N,      KM 40                     COM 13 KM                 POR ESTRADA VICINAL       FAZENDA CAPIVARA,ZONA RURAL,"78578000",MT,IPIRANGA DO NORTE
RUA,DONA FRANCISCA,"1113",SALA  703/704,SAGUACU,"89221006",SC,JOINVILLE
RODOVIA,BR 101  SUL,S/N,      KM 82 7,PRAZERES,"54335000",PE,JABOATAO DOS GUARARAPES
RUA,DR. NILO PECANHA,"358",,CENTRO,"26600000",RJ,PARACAMBI
RUA,CASCAVEL,"1311",,GUARAITUBA,"83410270",PR,COLOMBO
AVENIDA,AFONSO PENA,"5723",SALA  1504 DT008,SANTA FE,"79031010",MS,CAMPO GRANDE
RUA,CAPITAO SANCHO,"209",,CENTRO,"38770000",MG,JOAO PINHEIRO
AVENIDA,SENADOR SALGADO FILHO,"2234",EDIF  NATAL SHOPPING      ANDAR PISO L2             LOJA  345,CANDELARIA,"59064900",RN,NATAL
AVENIDA,CORONEL BENTO DE GODOY,S/N,QUADRA01                  LOTE  03/04 E 20,JARDIM HANASHIRO,"75680280",GO,CALDAS NOVAS
RODOVIA,CORONEL-POLICIA MILITAR NELSON TRANCHESI,"1730",GALPAO9                   SALA  MG9A,ITAQUI,"06696110",SP,ITAPEVI
,MONTEVIDEO,"0",,MONTIVIDEO,,EX,EXTERIOR
AVENIDA,MARIA DE SOUZA MENDES,"951",,PIONEIROS,"36420000",MG,OURO BRANCO
RUA,AFONSO VICENTE LIRIO,"306",ANEXO 1,APARECIDA,"98240000",RS,SANTA BARBARA DO SUL
AVENIDA,UNISINOS,"950",SETOR D                   EDIF  01,CRISTO REI,"93022750",RS,SAO LEOPOLDO
RUA,OLYMPIO TEIXEIRA GUIMARAES,"116",LOJA  06 SALA 01,ESTORIL,"30494380",MG,BELO HORIZONTE
AREA,RURAL,"2970",      L. EN. 7 DE SETEMBRO,AREA RURAL DE SANTA CRUZ DO SUL,"96849899",RS,SANTA CRUZ DO SUL
AVENIDA,SANTOS DUMONT,"2771",LOJA  02,CENTRO,"42702400",BA,LAURO DE FREITAS
RUA,SEGUNDA,S/N,SETOR 05                  QUADRA140                 LOTE  0285,JARDIM AEROPORTO,"68182301",PA,ITAITUBA
ESTRADA,PRESIDENTE JUSCELINO KUBITSCHEK DE OLIVEIRA,"4414",,JARDIM ALBERTINA,"07252000",SP,GUARULHOS
AVENIDA,OTAVIO BRAGA DE MESQUITA,"3681",,VILA FLORIDA,"07191000",SP,GUARULHOS
RUA,JOAO CARRARO,"396",,CENTRO,"87950000",PR,PORTO RICO
RUA,CASTELO DE FARO,"20",SALA  308,CASTELO,"31330260",MG,BELO HORIZONTE
RUA,GENERAL CARVALHO,"00711",,CORDOVIL,"21250240",RJ,RIO DE JANEIRO
AVENIDA,DO CURSINO,"3090",      3094 E 3108,SAUDE,"04132002",SP,SAO PAULO
AVENIDA,JADER PIRES,SN,QUADRA1-A                 LOTE  19,CENTRO,"77485000",TO,DUERE
AVENIDA,VICENTE BARBOSA,SN,QUADRA27                  LOTE  03,CENTRO,"77493000",TO,LAGOA DA CONFUSAO
RUA,GERMANO HERMESMEYER,"170",SALA  02,CENTRO,"88763000",SC,SANTA ROSA DE LIMA
FAZENDA,APUCARANA GRANDE,SN,,DISTRITO DE NATINGUI,"84350000",PR,ORTIGUEIRA
AVENIDA,VENCESLAU PEREIRA MACHADO,"3",TERREO,CENTRO,"44950000",BA,UIBAI
AVENIDA,ALBERTO PULICANO,"3600",,DISTRITO INDUSTRIAL ANTONIO DELLA - TORRE,"14406100",SP,FRANCA
RUA,MINAS GERAIS,"344",SALA  9,VILA APARECIDA,"14401229",SP,FRANCA
SETOR,SRTVN QUADRA 701 CONJUNTO C ALA B SALA 222 PARTE B,SN,,ASA NORTE,"70719903",DF,BRASILIA
RUA,ARGENTINA,"200",,ENSEADA,"11602188",SP,SAO SEBASTIAO
RUA,HADDOCK LOBO,"1626",QUIOSQG101.2.,CERQUEIRA CESAR,"01414002",SP,SAO PAULO
AVENIDA,MIGUEL SUTIL,SN,,ALVORADA,"78048000",MT,CUIABA
RUA,SANTO ANTONIO,S/N,,SANTO ANTONIO,"69800000",AM,HUMAITA
AVENIDA,JOAO ANTONIO SILVEIRA,"1355",,RESTINGA,"91790519",RS,PORTO ALEGRE
AVENIDA,JOAO ANTONIO SILVEIRA,"1335",,RESTINGA,"91790519",RS,PORTO ALEGRE
AVENIDA,REITOR MIGUEL CALMON,"001210",      EDIF CENTRO MEDICO        DO VALE LOJA              GARAGEM,CANELA,"40110100",BA,SALVADOR
AVENIDA,SANTOS DUMONT,"500",SALA  404                 ANDAR 4,BOA VISTA,"86039090",PR,LONDRINA
AVENIDA,PERIMETRAL DAS SAMAMBAIAS,SN,LOJA  NUMERO 314W         LOTE  0021                QUADRAF,CENTRO,"78450000",MT,NOVA MUTUM
AVENIDA,FERNANDO CORREA DA COSTA,"5325",,COXIPO,"78080970",MT,CUIABA
RUA,"11",S/N,QUADRA01                  LOTE  08,CONJUNTO SERRA DA GALGA,"75675000",GO,CORUMBAIBA
RODOVIA,SP 340,S/N,KM    243,FAZENDA AGUA SANTA,"13700000",SP,CASA BRANCA
RUA,DOS MINERAIS,"57",,PARQUE SAO PEDRO,"08586080",SP,ITAQUAQUECETUBA
RUA,AMADOR BUENO DA RIBEIRA,"123",,NOVA ESPERANCA,"88336320",SC,BALNEARIO CAMBORIU
AVENIDA,GOVERNADOR JULIO CAMPOS,"234",QUADRA04,SETOR COMERCIAL,"78550260",MT,SINOP
RODOVIA,ANTONIO CAMATA,S/N,KM    3,ZONA RURAL,"29725000",ES,MARILANDIA
AVENIDA,PAULISTA,"2028",ANDAR 11 CV 1102          CONJ  111,BELA VISTA,"01310927",SP,SAO PAULO
AVENIDA,ALEXANDRE BATISTA GARCIA,"664",,CENTRO,"79580000",MS,INOCENCIA
AVENIDA,SANTA LUZIA,"104",,SANTA LUZIA,"38460000",MG,CASCALHO RICO
AVENIDA,NOSSA SENHORA DE FATIMA,"1691",,CENTRO,"48415000",BA,FATIMA
AVENIDA,ALVARES CABRAL,"880",,MORADA DO VALE I,"94085000",RS,GRAVATAI
QUADRA,CLSW 103 BLOCO A,S/N,SALA  102,SETOR SUDOESTE,"70670521",DF,BRASILIA
RUA,"22 DE OUTUBRO","479",,CENTRO,"97418000",RS,TOROPI
RUA,TICO TICO REI,"41",,JARDIM CARAVELLE,"86702666",PR,ARAPONGAS
AVENIDA,DUQUE DE CAXIAS,"740",SALA  03,VILA SAO CAETANO,"86025140",PR,LONDRINA
RUA,VOLUNTARIO CARPES,"52",,CENTRO,"88790000",SC,LAGUNA
RUA,RUA EDUARDO MAGALHAES,SN,,PROMISSAO,"68628488",PA,PARAGOMINAS
AVENIDA,GOVERNADOR VIRGILIO TAVORA,"4000",,AEROPORTO,"63020735",CE,JUAZEIRO DO NORTE
AVENIDA,ARAGUAIA,"1128",,JARDIM ARIANE,"68554535",PA,REDENCAO
AVENIDA,JOSE BONIFACIO,"2550",SETOR 1 - CNTRS 01 A 09   ANEXO 1 E 2,VILA ATALAIA,"86181570",PR,CAMBE
AVENIDA,ENGENHEIRO PLINIO DE QUEIROZ,"00",LOTE  GLEBA 62 - AREA B   SETOR G 1                 LETRA PQ RAIZ DA SERRA,ZONA INDUSTRIAL,"11570000",SP,CUBATAO
AVENIDA,HELIO PEDROSA CASTELO,"2331",,PLANALTO NELANDIA,"63660000",CE,TAUA
AVENIDA,TORQUATO TAPAJOS,"13147",,SANTA ETELVINA,"69059165",AM,MANAUS
RUA,ANDRADE NEVES,"1880",,CENTRO,"96020080",RS,PELOTAS
AVENIDA,BARAO DO RIO BRANCO,"211/A",,CENTRO,"79480000",MS,RIO VERDE DE MATO GROSSO
RODOVIA,BR CENTO E DEZESSEIS,"22301",LOJA  1A                  COND  PORTAL DO SUL CD    BLOCO BL 01,TATUQUARA,"81690901",PR,CURITIBA
RODOVIA,QUARTO ANEL VIARIO,"1670",      LOJA 02,PEDRAS,"60874401",CE,FORTALEZA
AVENIDA,SETE DE SETEMBRO,"1917",SALA  302,CENTRO,"88900013",SC,ARARANGUA
AVENIDA,EDSON DA MOTA CORREIA,"620",LOJA  117A                TERREO                          IANDE SHOPPING,CENTRO,"61600040",CE,CAUCAIA
RUA,ANTONIO MARANHAO,"237",,BAIXA FRIA,"77880000",TO,XAMBIOA
RODOVIA,ROD BR 242 KM 401 LD,S/N,      AREA,LARANJEIRAS,"46900000",BA,SEABRA
RUA,MIGUEL JOSE GIMENES,"75",,JARDIM PORTOBELLO,"18103750",SP,SOROCABA
AVENIDA,JULIO DE CASTILHOS,"1989",,CENTRO,"95010005",RS,CAXIAS DO SUL
RUA,BULHOES MARCIAL,"00983",      LOT OEX 971 PARTE,VIGARIO GERAL,"21241369",RJ,RIO DE JANEIRO
AVENIDA,BRASIL,"132",,NAVEGANTES,"90230060",RS,PORTO ALEGRE
ESTRADA MUNICIPAL,DA FAZENDA FABIANO,"1229",SALA  01,DA PONTE NOVA,"37640000",MG,EXTREMA
AVENIDA,SENADOR FEIJO,"733",      PARTE,VILA MATHIAS,"11015505",SP,SANTOS
RODOVIA,"BR 463, KM 18, ESTRADA PONTA PORA, FAZENDA SANTA ILDA",S/N,KM    18 ESQUERDA MAIS 4KM,ZONA RURAL,"79804970",MS,DOURADOS
VIA,MANOEL JACINTO COELHO JUNIOR,"605",GALPAO02,FAZENDA DA TAPERA,"32150245",MG,CONTAGEM
AVENIDA,SETE DE SETEMBRO,"496",,CENTRO,"76801028",RO,PORTO VELHO
RODOVIA,BR 277,"1650",,VILA SANTA HELENA,"83221565",PR,PARANAGUA
RUA,HUMAITA,"196",,JARDIM LOLA,"59296805",RN,SAO GONCALO DO AMARANTE
RUA,TREZE DE JUNHO,SN,,CENTRO-SUL,"78020000",MT,CUIABA
RODOVIA,BR 407 KM 104,SN,,RODOVIA,"48970000",BA,SENHOR DO BONFIM
TRAVESSA,GILMAR DE FRANCA CRISPIM,"09",,JARDIM DAS FLORES,"06114175",SP,OSASCO
AVENIDA,PRINCIPAL 1,SN,,JARDIM OURO FINO,"78600578",MT,BARRA DO GARCAS
RUA,TTCEL ANTONIO BRAGA,"440",,VILA SANTA CATARINA,"04376040",SP,SAO PAULO
RUA,SILVANO FERREIRA SANTOS,"887",,PORTO NOVO,"29155355",ES,CARIACICA
RUA,ZINHO MARQUES,"204",LOJA  2,CENTRO,"07600021",SP,MAIRIPORA
AVENIDA,TURMALINA,"214",LOJA  2                   LOJA  3,VILA TOBIAS,"39663000",MG,VEREDINHA
RUA,PLINIO SALGADO,"80",,DISTRITO INDUSTRIAL II,"13457192",SP,SANTA BARBARA D'OESTE
RODOVIA,BR 470,"1001",KM    281,SAO JOSE DO MARATA,"95748000",RS,SAO JOSE DO SUL
RODOVIA,PR-090,S/N,KM    374                 SALA  1                   LOTE  48/A1,GLEBA GUARANI,"86200000",PR,IBIPORA
RUA,DOUTOR PEDRINHO,"79",SALA  607                       SHOPPING                  VITORIA REGIA,RIO MORTO,"89082262",SC,INDAIAL
AVENIDA,"8 E",SN,QUADRA45                  LOTE  AR02                SALA  LABORATORIO,GARAVELO RESIDENCIAL PARK,"74932250",GO,APARECIDA DE GOIANIA
RODOVIA,JOAO LEOPOLDO JACOMEL,"12813",,ESTANCIA PINHAIS,"83323125",PR,PINHAIS
RUA,JOAO AMARO GOMES,"1550",,TANCREDO NEVES,"45993261",BA,TEIXEIRA DE FREITAS
AVENIDA,SYLVIO BETTI,"120",,RECREIO DOS SOROCABANOS,"18071025",SP,SOROCABA
RUA,FRANCISCO SANTOS,"151",,CENTRO,"49500067",SE,ITABAIANA
AVENIDA,TOWER AUTOMOTIVE,"300",GALPAO15 E 16,LARANJA AZEDA,"07430350",SP,ARUJA
RUA,JOAO PESSOA,"40",,CENTRO,"78840000",MT,CAMPO VERDE
AVENIDA,BRASIL,"1567",SALA  01,CENTRO,"85892000",PR,SANTA HELENA
RODOVIA,BR 101,"12750",GALPAO31 E 32             KM    124                 BOX   04,CANHANDUBA,"88313000",SC,ITAJAI
SITIO,GUAIVIRA,SN,,ZONA RURAL,"16250000",SP,CLEMENTINA
RUA,PINHEIRO MACHADO,"1838",,CENTRO,"95020171",RS,CAXIAS DO SUL
AVENIDA,PRES KENNEDY,"3984",      GALPAO 01 E 02,AGUAZINHA,"53300090",PE,OLINDA
AVENIDA,ALFREDO BANDEIRA DE MELO,"102",,SARAMANDAIA,"53620444",PE,IGARASSU
RUA,AVARE,"133",SALA  08,CONSOLACAO,"01243030",SP,SAO PAULO
RUA,SENADOR LEITE NETO,"269",QUADRA002,CENTRO,"49680000",SE,NOSSA SENHORA DA GLORIA
RUA,GENERAL LIMA E SILVA,"594",SALA  402,CIDADE BAIXA,"90050100",RS,PORTO ALEGRE
RODOVIA,BR 282,SN,KM    600,LINHA HUMAITA,"89890000",SC,CUNHA PORA
AVENIDA,"GOIAS QUADRA 345, LOTE 37","431",,CENTRO,"76380100",GO,GOIANESIA
RUA,FRITZ SPERNAU,"642",,ITOUPAVA NORTE,"89055200",SC,BLUMENAU
RUA,RUI BARBOSA,"4210",,PARQUE ALVORADA,"64004485",PI,TERESINA
AVENIDA,RUI BARBOSA,"5881",BLOCO 01,AFONSO PENA,"83045350",PR,SAO JOSE DOS PINHAIS
