"tipo_logradouro","logradouro","numero","complemento","bairro","cep","uf","municipio"
AVENIDA,GAL EDGAR FACO,"840",,VILA PEREIRA CERCA,"02924400",SP,SAO PAULO
RUA,TEODORO SAMPAIO,"2799",ANEXO 2809                TERREOMEZANINO,PINHEIROS,"05405250",SP,SAO PAULO
RUA,SETE DE SETEMBRO,"220",,CENTRO,"16400025",SP,LINS
RUA,SENADOR ANTONIO LEMOS,"450",SETOR B2W,CENTRO,"68740010",PA,CASTANHAL
AVENIDA,LAURO DE FREITAS,"336",SETOR B2W,CENTRO,"45000230",BA,VITORIA DA CONQUISTA
AVENIDA,BRASIL,"1670",LOJA  101                 SETOR B2W,CENTRO,"88330040",SC,BALNEARIO CAMBORIU
AVENIDA,JOSE HERCULANO,"1086",LOJA  E 01/04/05/06,JARDIM BRITANIA,"11666000",SP,CARAGUATATUBA
AVENIDA,JOSE MUNIA,"4775",LOJA  A12 - PISO 1,JARDIM REDENTOR,"15085350",SP,SAO JOSE DO RIO PRETO
RUA,PREFEITO JOAO DE SOUZA LIMA,"531",LOTE  04                  QUADRA80,SAO JOAO,"77807160",TO,ARAGUAINA
ESTRADA,MIGUEL PEREIRA,"0",      GALPAO 01 ARMAZEM         10,CARRETAO,"23893000",RJ,SEROPEDICA
RUA,WILHELM CRISTIAN KLEMME,"255",LOJA  002,ERMITAGE,"25975550",RJ,TERESOPOLIS
RUA,TEODORO SAMPAIO,"2174",PAVMTOTERREO E MEZANINO,PINHEIROS,"05406150",SP,SAO PAULO
RUA,BENJAMIN CONSTANT,"23",,CENTRO,"55900000",PE,GOIANA
AVENIDA,BARRETO DE MENEZES,"800",      LJ 186,PIEDADE,"54410902",PE,JABOATAO DOS GUARARAPES
AVENIDA,ISABEL DOMINGUES,"00300",      BLC 005 LOJ 111 112       113 152 153 E 154,GARDENIA AZUL,"22763627",RJ,RIO DE JANEIRO
RODOVIA,BR TREZENTOS E CINQUENTA E SEIS,"3049",LOJA  017E,BELVEDERE,"30320900",MG,BELO HORIZONTE
AVENIDA,ELDES SCHERRER SOUZA,"2162",LOJA  SUC 203 H/I,COLINA DE LARANJEIRAS,"29167080",ES,SERRA
AVENIDA,"DOUTOR OLIVIO LIRA, 353","353",SETOR ESP COM SCP00101,PRAIA DA COSTA,"29101950",ES,VILA VELHA
AVENIDA,VISCONDE DE SOUZA FRANCO,"776",LOJA  15,REDUTO,"66053000",PA,BELEM
ESTRADA,DOS BANDEIRANTES,"08591",      LOJ 1013,JACAREPAGUA,"22783115",RJ,RIO DE JANEIRO
AVENIDA,AYRTON SENNA,"3579",      LOJA PARTE,JACAREPAGUA,"22775002",RJ,RIO DE JANEIRO
RUA,VINTE E QUATRO DE MAIO,"00410",      LOJ B,RIACHUELO,"20950090",RJ,RIO DE JANEIRO
AVENIDA,ABILIO MACHADO,"1664",,ALIPIO DE MELO,"30820622",MG,BELO HORIZONTE
AVENIDA,JOCELIM GOMES PIRES,"2300",LOJA  30 - PISO TERREO,NOSSA SENHORA DE FATIMA,"75709140",GO,CATALAO
AVENIDA,DR JOAO VARGENS,"196",,CENTRO,"45880000",BA,CAMACAN
RUA,PAULINO RODRIGUES DE SOUZA,"559",,CENTRO,"28960000",RJ,IGUABA GRANDE
RUA,SAO LUIZ GONZAGA,"00392",      392A,SAO CRISTOVAO,"20910060",RJ,RIO DE JANEIRO
AVENIDA,ALMERINDO REHEN,"518",,CENTRO,"48500000",BA,EUCLIDES DA CUNHA
AVENIDA,MONSENHOR JOSE ALOISIO PINTO,"300",LOJA  LUC 9A/14,DOM EXPEDITO,"62050255",CE,SOBRAL
AVENIDA,HILTON SOUTO MAIOR,"3901",LOJA  P2073 P2074 P2075,MANGABEIRA,"58055018",PB,JOAO PESSOA
AVENIDA,AV FERNANDO GUILHON,S/N,QUADRAC                   LOTE  C 01 SUC                  ANCORA 01                 RIO TAPAJOS SHOPPING,ELCIONE BARBALHO,"68038305",PA,SANTAREM
RODOVIA,PA 275,S/N,      ZONA DE SERVICOS 1A       LOJA N 59,ALVORA,"68515000",PA,PARAUAPEBAS
RUA,TENENTE JOAQUIM NOGUEIRA DE QUEIROZ,"259",,CENTRO,"62870000",CE,PACAJUS
RUA,CARMELITA SOARES MUNIZ DE ARAUJO,"225",      CJ 009,CASA CAIADA,"53130645",PE,OLINDA
RUA,O,"1044",LOJA  99 A 102            TERREOBURITI SHOPPING,RESIDENCIAL JARDIM CAMPESTRE,"75907681",GO,RIO VERDE
RUA,"2",QD 66,LOTE  7 A 15,JARDIM ORIENTE,"72870225",GO,VALPARAISO DE GOIAS
AVENIDA,MARECHAL FLORIANO PEIXOTO,"44",LOJA  15                  NIVEL I,GONZAGA,"11060910",SP,SANTOS
AVENIDA,HELENA AGUIAR DE FIGUEIREDO,"131",      SEMI-ANCORA 3,IPANEMA,"36205507",MG,BARBACENA
RUA,BATISTA DE OLIVEIRA,"381",      LJ,CENTRO,"36013300",MG,JUIZ DE FORA
AVENIDA,TANCREDO NEVES,"148",      SHOPPING DA BAHIA         PISO 1 LOJA               AMERICANAS,CAMINHO DAS ARVORES,"41820020",BA,SALVADOR
AVENIDA,DORIVAL CAYMMI,"14380",      CENTRO EMPRESARIAL        CAYMMI LOJA 01,ITAPUA,"41635150",BA,SALVADOR
RUA,ANISIO TEIXEIRA,"221",      SHOPPING BOULEVARD        161 LOJA 25,ITAIGARA,"41815060",BA,SALVADOR
AVENIDA,GENERAL SAN MARTIN,"2263",,FAZENDA GRANDE DO RETIRO,"40355000",BA,SALVADOR
RUA,"10","01",,CIDADE OPERARIA,"65058188",MA,SAO LUIS
RUA,PROFESSOR DUILIO CALDERARI,"1904",LOTE  11                  QUADRA35 - SALA 7,JARDIM PAULISTA,"83430000",PR,CAMPINA GRANDE DO SUL
AVENIDA,MATE LARANJEIRA,"650",QUADRA71 LOTE 9 E 12,NLPMG,"85980000",PR,GUAIRA
RUA,FORMOSA,"243",,CENTRO,"86990000",PR,MARIALVA
AVENIDA,DOUTOR QUINZINHO,"511",LOJA  1 - PISO TERREO,CHACARA PECCIOLI,"17210110",SP,JAU
AVENIDA,RUY RODRIGUEZ,"3900",LOJA  A-04,PARQUE UNIVERSITARIO DE VIRACOPOS,"13056460",SP,CAMPINAS
AVENIDA,PRESIDENTE COSTA E SILVA,"527",LOJA  1,BOQUEIRAO,"11701000",SP,PRAIA GRANDE
RUA,GRINAURA MIRANDA,"35",SETOR 105                 QUADRAQ035                LOTE  00A1,XINGO - VILA SERGIPE,"57460000",AL,PIRANHAS
AVENIDA,SAO LUIS REI DE FRANCA,"8",LOJA  1033,TURU,"65065470",MA,SAO LUIS
RUA,JOAO ALENCAR,"2181",LOJA  1161,AEROPORTO,"69310065",RR,BOA VISTA
RODOVIA,BR-497,S/N,KM    RURAL KM 1                480M                      GALPAO 2 - CTR,JARDIM EUROPA,"38414583",MG,UBERLANDIA
RODOVIA,BR 316,"1113",KM    8                   EDIF  PLENO COMERCIAL,CENTRO,"67033000",PA,ANANINDEUA
RUA,PAES DE CARVALHO,"1001",,IANETAMA,"68744580",PA,CASTANHAL
RUA,BARAO DO RIO BRANCO,"39",,CENTRO,"48730000",BA,CONCEICAO DO COITE
PRACA,JOSE MARCELINO,"37",,CENTRO,"48790000",BA,TUCANO
RUA,JOSE PINHEIRO,"74",,CENTRO,"48760000",BA,ARACI
AVENIDA,ANTONIO PEREIRA ARAGAO,"1008",,CENTRO,"65470000",MA,SAO MATEUS DO MARANHAO
AVENIDA,RAUL LOPES,"1000",LOJA  SUC 02 ANCORA,NOIVOS,"64046010",PI,TERESINA
RUA,SETE DE SETEMBRO,"437",,CENTRO,"75650000",GO,MORRINHOS
RUA,PADRE CARAPUCEIRO,"777",      LOJA 117 118 PC,BOA VIAGEM,"51020280",PE,RECIFE
AVENIDA,AYRTON SENNA,"1995",LOTE  10 E 11 QD06        LOTE  SUC SL17A26 39A41,NOVA PARNAMIRIM,"59151610",RN,PARNAMIRIM
ESTRADA,DE RIBAMAR,"1000",LOJA  ANCORA 06,SARAMANTA,"65110000",MA,SAO JOSE DE RIBAMAR
AVENIDA,PRESIDENTE VARGAS,"937",,SETOR CENTRAL,"75901040",GO,RIO VERDE
AVENIDA,OLINDA,"960",LOJA  4,LOT PARK LOZANDES,"74884120",GO,GOIANIA
RUA,DOUTOR JORGE XAVIER DA SILVA,"378",,CENTRO,"84165000",PR,CASTRO
AVENIDA,VICTOR FERREIRA DO AMARAL,"2633",LOJA  L1183               ANDAR L01,TARUMA,"82810350",PR,CURITIBA
AVENIDA,WILSON TAVARES RIBEIRO,"1651",      MODULOS 9 A 13            AREA 3,CHACARAS REUNIDAS SANTA TEREZINHA,"32183680",MG,CONTAGEM
RODOVIA,BR 316,S/N,KM    23/24,ITAPEPOCU,"68795000",PA,BENEVIDES
AVENIDA,RUI BARBOSA,"30 A",,CENTRO,"39330000",MG,BRASILIA DE MINAS
RUA,RODOLFO PEREIRA CAVALCANTE,"170",,CENTRO,"61880000",CE,ITAITINGA
RUA,ANDRADE NEVES,"1933",,CENTRO,"96020080",RS,PELOTAS
RUA,CORONEL VICENTE SABOIA,"102",,CENTRO,"59600120",RN,MOSSORO
AVENIDA,MARIO PINOTTI,"386",,CENTRO,"17380000",SP,BROTAS
RUA,BIAS FORTES,"492",,CENTRO,"39900000",MG,ALMENARA
